record_type,assignment_id,host_id,domain,role,state,phase,asset_id,uptime,data_completeness,ticket_severity,ticket_status,replacement_host_id,event_id,previous_hash,event_hash,notes,checksum
event,reviewed-host-33:soil:ecological,reviewed-host-33,soil,ecological,online,,soil-asset-001,1,0.98,none,none,,controlled-commission-001,00000000,3987b2bd,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-35:heat:reference,reviewed-host-35,heat,reference,online,,heat-asset-021,0.94,0.88,none,none,,controlled-commission-021,3987b2bd,5d048414,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-43:soil:ecological,reviewed-host-19,soil,ecological,online,,soil-asset-041,1,0.98,none,none,,controlled-commission-041,5d048414,e31f814e,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-33:heat:canopy-gap,reviewed-host-33,heat,canopy-gap,online,,heat-asset-002,0.93,0.88,none,none,,controlled-commission-002,e31f814e,1450a91b,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-39:water:downstream-receptor,reviewed-host-39,water,downstream-receptor,online,,water-asset-022,0.95,0.9,none,none,,controlled-commission-022,1450a91b,214e4c0f,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-44:air:source-oriented,reviewed-host-44,air,source-oriented,online,,air-asset-042,0.99,0.93,none,none,,controlled-commission-042,214e4c0f,b4c3d487,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-33:water:reference,reviewed-host-33,water,reference,online,,water-asset-003,0.97,0.9,none,none,,controlled-commission-003,b4c3d487,35899729,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-39:soil:ecological,reviewed-host-39,soil,ecological,online,,soil-asset-023,1,0.98,none,none,,controlled-commission-023,35899729,1876ace1,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-06:water:treatment-system,reviewed-host-06,water,treatment-system,online,,water-asset-004,0.95,0.9,none,none,,controlled-commission-004,1876ace1,4d7ab1e8,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-42:heat:reference,reviewed-host-42,heat,reference,online,,heat-asset-024,0.94,0.88,none,none,,controlled-commission-024,4d7ab1e8,b51df89d,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-06:soil:ecological,reviewed-host-06,soil,ecological,online,,soil-asset-005,1,0.98,none,none,,controlled-commission-005,b51df89d,c33a7a50,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-42:air:community,reviewed-host-42,air,community,online,,air-asset-025,0.97,0.93,none,none,,controlled-commission-025,c33a7a50,d159fba9,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-09:water:upstream-source,reviewed-host-09,water,upstream-source,degraded,,water-asset-006,0.83,0.76,medium,open,,controlled-commission-006,d159fba9,d83b6246,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-45:soil:community-safety,reviewed-host-45,soil,community-safety,online,,soil-asset-026,1,0.98,low,open,,controlled-commission-026,d83b6246,d70dcb4d,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-09:soil:ecological,reviewed-host-09,soil,ecological,online,,soil-asset-007,1,0.98,none,none,,controlled-commission-007,d70dcb4d,092d24a9,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-45:heat:reference,reviewed-host-45,heat,reference,online,,heat-asset-027,0.94,0.88,none,none,,controlled-commission-027,092d24a9,2b45bad4,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-12:soil:community-safety,reviewed-host-12,soil,community-safety,offline,,soil-asset-008,1,0.22,critical,open,,controlled-commission-008,2b45bad4,ffeede52,Controlled equipment failure used to test replacement planning.,6318a385
event,reviewed-host-02:soil:community-safety,reviewed-host-02,soil,community-safety,degraded,,soil-asset-028,1,0.76,medium,open,,controlled-commission-028,ffeede52,2cf10171,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-12:heat:reference,reviewed-host-12,heat,reference,online,,heat-asset-009,0.94,0.88,low,open,,controlled-commission-009,2cf10171,263ed7e7,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-03:soil:ecological,reviewed-host-03,soil,ecological,online,,soil-asset-029,1,0.98,none,none,,controlled-commission-029,263ed7e7,31287cc8,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-14:air:source-oriented,reviewed-host-40,air,source-oriented,offline,,air-asset-010,0.18,0.22,critical,open,,controlled-commission-010,31287cc8,ea023499,Controlled equipment failure used to test replacement planning.,6318a385
event,reviewed-host-05:soil:community-safety,reviewed-host-05,soil,community-safety,online,,soil-asset-030,1,0.98,none,none,,controlled-commission-030,ea023499,b02b0a79,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-14:heat:reference,reviewed-host-21,heat,reference,online,,heat-asset-011,0.93,0.88,none,none,,controlled-commission-011,b02b0a79,3103c19f,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-07:water:treatment-system,reviewed-host-07,water,treatment-system,online,,water-asset-031,0.95,0.9,none,none,,controlled-commission-031,3103c19f,d5e222d6,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-15:soil:community-safety,reviewed-host-15,soil,community-safety,online,,soil-asset-012,1,0.98,none,none,,controlled-commission-012,d5e222d6,79d6166d,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-08:soil:disturbance,reviewed-host-08,soil,disturbance,online,,soil-asset-032,1,0.98,none,none,,controlled-commission-032,79d6166d,0089305a,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-15:heat:exposure,reviewed-host-15,heat,exposure,online,,heat-asset-013,0.92,0.88,none,none,,controlled-commission-013,0089305a,bbfe3dc5,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-13:soil:ecological,reviewed-host-13,soil,ecological,online,,soil-asset-033,1,0.98,none,none,,controlled-commission-033,bbfe3dc5,9517aa05,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-24:air:source-oriented,reviewed-host-24,air,source-oriented,online,,air-asset-014,0.98,0.93,none,none,,controlled-commission-014,9517aa05,7dc244d6,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-18:soil:disturbance,reviewed-host-18,soil,disturbance,online,,soil-asset-034,1,0.98,none,none,,controlled-commission-034,7dc244d6,193eb563,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-24:heat:reference,reviewed-host-24,heat,reference,offline,,heat-asset-015,0.18,0.22,critical,open,,controlled-commission-015,193eb563,162b2382,Controlled equipment failure used to test replacement planning.,6318a385
event,reviewed-host-22:soil:community-safety,reviewed-host-22,soil,community-safety,online,,soil-asset-035,1,0.98,none,none,,controlled-commission-035,162b2382,0c853839,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-27:water:treatment-system,reviewed-host-27,water,treatment-system,online,,water-asset-016,0.95,0.9,none,none,,controlled-commission-016,0c853839,cbd686af,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-23:soil:ecological,reviewed-host-23,soil,ecological,online,,soil-asset-036,1,0.98,none,none,,controlled-commission-036,cbd686af,e29b8187,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-27:air:community,reviewed-host-27,air,community,degraded,,air-asset-017,0.85,0.76,medium,open,,controlled-commission-017,e29b8187,73086c4e,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-25:soil:community-safety,reviewed-host-25,soil,community-safety,online,,soil-asset-037,1,0.98,none,none,,controlled-commission-037,73086c4e,432b71c9,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-32:soil:community-safety,reviewed-host-32,soil,community-safety,online,,soil-asset-018,1,0.98,none,none,,controlled-commission-018,432b71c9,594b73d4,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-28:soil:disturbance,reviewed-host-28,soil,disturbance,online,,soil-asset-038,1,0.98,none,none,,controlled-commission-038,594b73d4,0bae3baf,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-32:heat:exposure,reviewed-host-32,heat,exposure,online,,heat-asset-019,0.92,0.88,none,none,,controlled-commission-019,0bae3baf,034edb01,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-38:soil:disturbance,reviewed-host-38,soil,disturbance,degraded,,soil-asset-039,1,0.76,medium,open,,controlled-commission-039,034edb01,0d78c514,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-35:soil:community-safety,reviewed-host-35,soil,community-safety,online,,soil-asset-020,1,0.98,none,none,,controlled-commission-020,0d78c514,277272f0,Controlled commissioning example; not an observed deployment record.,6318a385
event,reviewed-host-41:soil:ecological,reviewed-host-41,soil,ecological,online,,soil-asset-040,1,0.98,none,none,,controlled-commission-040,277272f0,6bde97b3,Controlled commissioning example; not an observed deployment record.,6318a385
assignment,reviewed-host-33:soil:ecological,reviewed-host-33,soil,ecological,commissioned,,soil-asset-001,1,0.98,none,none,,controlled-commission-001,,,,6318a385
assignment,reviewed-host-33:heat:canopy-gap,reviewed-host-33,heat,canopy-gap,commissioned,,heat-asset-002,0.93,0.88,none,none,,controlled-commission-002,,,,6318a385
assignment,reviewed-host-33:water:reference,reviewed-host-33,water,reference,commissioned,,water-asset-003,0.97,0.9,none,none,,controlled-commission-003,,,,6318a385
assignment,reviewed-host-06:water:treatment-system,reviewed-host-06,water,treatment-system,commissioned,,water-asset-004,0.95,0.9,none,none,,controlled-commission-004,,,,6318a385
assignment,reviewed-host-06:soil:ecological,reviewed-host-06,soil,ecological,commissioned,,soil-asset-005,1,0.98,none,none,,controlled-commission-005,,,,6318a385
assignment,reviewed-host-09:water:upstream-source,reviewed-host-09,water,upstream-source,provisional,1,water-asset-006,0.83,0.76,high,open,,controlled-commission-006,,,,6318a385
assignment,reviewed-host-09:soil:ecological,reviewed-host-09,soil,ecological,commissioned,,soil-asset-007,1,0.98,none,none,,controlled-commission-007,,,,6318a385
assignment,reviewed-host-12:soil:community-safety,reviewed-host-12,soil,community-safety,offline-or-blocked,,soil-asset-008,1,0.22,critical,open,reviewed-host-17,controlled-commission-008,,,replacement-ready,6318a385
assignment,reviewed-host-12:heat:reference,reviewed-host-12,heat,reference,commissioned,,heat-asset-009,0.94,0.88,medium,open,,controlled-commission-009,,,,6318a385
assignment,reviewed-host-14:air:source-oriented,reviewed-host-40,air,source-oriented,offline-or-blocked,,air-asset-010,0.18,0.22,critical,open,reviewed-host-20,controlled-commission-010,,,replacement-ready,6318a385
assignment,reviewed-host-14:heat:reference,reviewed-host-21,heat,reference,commissioned,,heat-asset-011,0.93,0.88,none,none,,controlled-commission-011,,,,6318a385
assignment,reviewed-host-15:soil:community-safety,reviewed-host-15,soil,community-safety,commissioned,,soil-asset-012,1,0.98,none,none,,controlled-commission-012,,,,6318a385
