profile,profile_label,pareto,complete,site_id,site_label,host_category,latitude,longitude,colocated_domains,domain,role,suitability,assignment_savings_usd,site_reliability,site_equity,review_status,permission_status,access_status,power_status,safety_status,maintenance_status,owner_or_agency,reviewer,verification_date,field_verification_required,total_base_cost_usd,total_savings_usd,total_final_cost_usd,mean_coverage,worst_domain_coverage,correlated_failure_risk,checksum
coordinated,Coordinated Balanced,true,true,reviewed-host-33,Park or recreation 33,park,39.73216216216216,-104.93324324324324,soil|heat|water,soil,ecological,0.96,0,0.88,0.601,verified,verified,verified,pending,verified,verified,Illustrative public agency,Controlled v2.6 example,2026-07-25,false,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-33,Park or recreation 33,park,39.73216216216216,-104.93324324324324,soil|heat|water,heat,canopy-gap,0.94,98.496,0.88,0.601,verified,verified,verified,pending,verified,verified,Illustrative public agency,Controlled v2.6 example,2026-07-25,false,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-33,Park or recreation 33,park,39.73216216216216,-104.93324324324324,soil|heat|water,water,reference,0.69,117.80999999999999,0.88,0.601,verified,verified,verified,pending,verified,verified,Illustrative public agency,Controlled v2.6 example,2026-07-25,false,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-06,Utility infrastructure 06,utility,39.77756756756757,-104.90549549549549,water|soil,water,treatment-system,0.91,0,0.91,0.504,conditional,verified,verified,verified,pending,verified,Illustrative local partner,Controlled v2.6 example,2026-07-25,true,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-06,Utility infrastructure 06,utility,39.77756756756757,-104.90549549549549,water|soil,soil,ecological,0.58,11.529000000000002,0.91,0.504,conditional,verified,verified,verified,pending,verified,Illustrative local partner,Controlled v2.6 example,2026-07-25,true,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-09,Watershed access 09,watershed-access,39.711351351351354,-104.88027027027026,water|soil,water,upstream-source,0.98,0,0.79,0.5489999999999999,verified,verified,verified,pending,verified,verified,Illustrative public agency,Controlled v2.6 example,2026-07-25,false,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-09,Watershed access 09,watershed-access,39.711351351351354,-104.88027027027026,water|soil,soil,ecological,0.75,11.529000000000002,0.79,0.5489999999999999,verified,verified,verified,pending,verified,verified,Illustrative public agency,Controlled v2.6 example,2026-07-25,false,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-12,School or childcare 12,school,39.645135135135135,-105.10981981981982,soil|heat,soil,community-safety,0.93,0,0.88,0.734,conditional,pending,verified,verified,verified,verified,Illustrative local partner,Controlled v2.6 example,2026-07-25,true,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-12,School or childcare 12,school,39.645135135135135,-105.10981981981982,soil|heat,heat,reference,0.96,98.496,0.88,0.734,conditional,pending,verified,verified,verified,verified,Illustrative local partner,Controlled v2.6 example,2026-07-25,true,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-14,Transit or mobility 14,transit,39.66216216216216,-104.92315315315315,air|heat,air,source-oriented,0.96,0,0.94,0.476,conditional,verified,verified,verified,pending,verified,Illustrative local partner,Controlled v2.6 example,2026-07-25,true,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-14,Transit or mobility 14,transit,39.66216216216216,-104.92315315315315,air|heat,heat,reference,0.84,114.048,0.94,0.476,conditional,verified,verified,verified,pending,verified,Illustrative local partner,Controlled v2.6 example,2026-07-25,true,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-15,Community facility 15,community,39.76243243243243,-105.08459459459459,soil|heat,soil,community-safety,0.92,0,0.76,0.779,conditional,pending,verified,verified,verified,verified,Illustrative public agency,Controlled v2.6 example,2026-07-25,true,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-15,Community facility 15,community,39.76243243243243,-105.08459459459459,soil|heat,heat,exposure,0.91,98.496,0.76,0.779,conditional,pending,verified,verified,verified,verified,Illustrative public agency,Controlled v2.6 example,2026-07-25,true,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
coordinated,Coordinated Balanced,true,true,reviewed-host-24,Transit or mobility 24,transit,39.7472972972973,-105.00891891891891,air|heat,air,source-oriented,0.96,0,0.8200000000000001,0.62,conditional,verified,verified,verified,verified,pending,Illustrative local partner,Controlled v2.6 example,2026-07-25,true,113500,1423.6290000000001,112076.371,0.9352912166900633,0.9252,0.2155555555555555,6feaa996
