record_type,completed_phase,event_id,previous_hash,event_hash,host_id,phase,outcome,occurred_at,reviewer,notes,domain,role,primary_host_id,current_host_id,operational_state,checksum
event,3,illustrative-003,00000000,5e1aca91,reviewed-host-14,1,rejected,2026-07-26T12:02:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-004,5e1aca91,146c33bd,reviewed-host-15,1,accepted,2026-07-26T12:03:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-005,146c33bd,e86829d4,reviewed-host-24,1,conditional,2026-07-26T12:04:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-006,e86829d4,e0cdf548,reviewed-host-27,1,accepted,2026-07-26T12:05:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-009,e0cdf548,d80ae640,reviewed-host-39,1,accepted,2026-07-26T12:08:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-010,d80ae640,90da0cf8,reviewed-host-42,1,accepted,2026-07-26T12:09:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-011,90da0cf8,a995fad3,reviewed-host-45,1,accepted,2026-07-26T12:10:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-024,a995fad3,d03b7555,reviewed-host-44,1,accepted,2026-07-26T12:23:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-001,d03b7555,f674e154,reviewed-host-06,2,accepted,2026-07-27T12:00:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-002,f674e154,c3e8ba9c,reviewed-host-12,2,accepted,2026-07-27T12:01:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-007,c3e8ba9c,e80b8c3c,reviewed-host-32,2,accepted,2026-07-27T12:06:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-008,e80b8c3c,ceadbebb,reviewed-host-35,2,accepted,2026-07-27T12:07:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-013,ceadbebb,74a40338,reviewed-host-03,2,accepted,2026-07-27T12:12:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-015,74a40338,76e9b410,reviewed-host-07,2,accepted,2026-07-27T12:14:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-019,76e9b410,efe6fae0,reviewed-host-22,2,conditional,2026-07-27T12:18:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-023,efe6fae0,52e0da5b,reviewed-host-43,2,rejected,2026-07-27T12:22:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-012,52e0da5b,34b1dc82,reviewed-host-02,3,conditional,2026-07-28T12:11:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-014,34b1dc82,2bfc0a03,reviewed-host-05,3,accepted,2026-07-28T12:13:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-016,2bfc0a03,63a58a88,reviewed-host-08,3,accepted,2026-07-28T12:15:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-017,63a58a88,e0b1c429,reviewed-host-13,3,accepted,2026-07-28T12:16:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
event,3,illustrative-018,e0b1c429,4e419b3c,reviewed-host-18,3,accepted,2026-07-28T12:17:00.000Z,Controlled v2.8 example,Synthetic outcome for deterministic live-campaign tracking; not an observed field inspection.,,,,,,85a2e887
