architecture,checksum,domain,category,check_id,label,status,detail
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,architecture,shared-domain-parity,Registry/model domain parity,pass,"Registry: heat, air, soil, water; model configs: air, heat, soil, water."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,release,shared-release-parity,Release metadata domain parity,pass,"Release supports heat, air, soil, water."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,allocation,shared-budget-allocator,Unified budget-allocation release contract,pass,Allocator: js/model/unified/budget-allocation.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,sequential,shared-sequential-reallocator,Sequential evidence-reallocation release contract,pass,Sequential reallocator: js/model/unified/sequential-reallocation.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,adaptive,shared-adaptive-simulator,Multi-round adaptive-simulation release contract,pass,Adaptive simulator: js/model/unified/adaptive-program-simulation.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,robust-policy,shared-robust-policy-ensemble,Trajectory-uncertainty ensemble release contract,pass,Robust evaluator: js/model/unified/robust-policy-ensemble.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,spatial-deployment,shared-spatial-deployment,Spatially coupled deployment release contract,pass,Spatial planner: js/model/unified/spatial-deployment.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,field-feasibility,shared-host-inventory-review,Verified-host ingestion release contract,pass,Host inventory reviewer: js/model/unified/host-inventory.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,field-campaign,shared-field-campaign-operations,Field-campaign and reserve-site release contract,pass,Field-campaign planner: js/model/unified/field-campaign.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,live-campaign,shared-live-campaign-tracking,Live campaign tracking release contract,pass,Live campaign tracker: js/model/unified/campaign-tracking.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,commissioning,shared-commissioning-operations,Commissioning and maintenance release contract,pass,Commissioning operations: js/model/unified/commissioning-operations.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,release,shared-release-quality,Internal release-quality contract,pass,Internal release-quality auditor: js/release/public-readiness.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,release,shared-stable-v3-status,Stable public v3 release status,pass,Release status: stable-public-v3.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,shared,research,shared-research-positioning,Research positioning,pass,"The audit treats Bayesian placement, validation, robustness, and intervention methods as established components; LUMOS contributes their socially constrained cross-domain integration."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,model,heat-model,Shared model configuration,pass,heat kernel with declared GP scale.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,model,heat-objectives,Complete objective vector,pass,10 shared objective terms are configured.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,capabilities,heat-capabilities,Public scientific workflow,pass,11 required workflow capabilities are declared.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,allocation,heat-budget-contract,Cross-domain budget contract,pass,"monitor package: $3,000 per planning unit; 4-24 units; normalized diminishing-return curve declared."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,sequential,heat-evidence-calibration,Sequential evidence-calibration contract,pass,20 observations target full support; prior residual need 60%.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,adaptive,heat-simulation-transition,Multi-round evidence-transition contract,pass,Learning rate 0.60; residual response 0.88.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,robust-policy,heat-trajectory-uncertainty,Trajectory-uncertainty calibration contract,pass,Cost scale 0.90; failure sensitivity 0.85; environmental sensitivity 1.05.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,spatial-deployment,heat-spatial-deployment,Domain-specific spatial deployment contract,pass,0.75 km spacing; 24% shareable infrastructure; 72% co-location failure sensitivity.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,field-campaign,heat-field-campaign,Inspection and reserve-site contract,pass,Inspection priority 0.82; reserve reliability floor 0.70; replacement criticality 0.78.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,live-campaign,heat-live-campaign,Live outcome and adaptive replacement contract,pass,Conditional operational credit 0.78; live-outcome reliability floor 0.68.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,commissioning,heat-commissioning-operations,"Commissioning, calibration, maintenance, and asset-replacement contract",pass,continuous-monitor; 80% data-completeness floor; 72% replacement reliability floor.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,adapter,heat-scenarios,Domain scenario contract,pass,"live-city, live-national, synthetic"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,interface,heat-presets,Public case-study presets,pass,4 domain-matched presets registered.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,interface,heat-onboarding,Domain-aware onboarding,pass,9 ordered walkthrough steps with 9 unique identifiers.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,release,heat-health,Required-source health coverage,pass,2 required services are domain-scoped.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,reliability,heat-fallback,Explicit scientific fallback,pass,Systematic candidate mesh with explicit modeled/proxy labels
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,intervention,heat-intervention,Pre/post-intervention roles,pass,"treatment, control, boundary, spillover, supplemental"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,heat,claims,heat-claims,Field and transport claim boundary,pass,Weather and land-surface trend + spatial GP residual; Continuous surface covariance.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,model,air-model,Shared model configuration,pass,air kernel with declared GP scale.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,model,air-objectives,Complete objective vector,pass,10 shared objective terms are configured.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,capabilities,air-capabilities,Public scientific workflow,pass,11 required workflow capabilities are declared.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,allocation,air-budget-contract,Cross-domain budget contract,pass,"calibrated station package: $8,000 per planning unit; 3-16 units; normalized diminishing-return curve declared."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,sequential,air-evidence-calibration,Sequential evidence-calibration contract,pass,8 observations target full support; prior residual need 68%.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,adaptive,air-simulation-transition,Multi-round evidence-transition contract,pass,Learning rate 0.54; residual response 0.82.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,robust-policy,air-trajectory-uncertainty,Trajectory-uncertainty calibration contract,pass,Cost scale 1.15; failure sensitivity 1.10; environmental sensitivity 1.18.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,spatial-deployment,air-spatial-deployment,Domain-specific spatial deployment contract,pass,1.10 km spacing; 20% shareable infrastructure; 82% co-location failure sensitivity.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,field-campaign,air-field-campaign,Inspection and reserve-site contract,pass,Inspection priority 0.96; reserve reliability floor 0.78; replacement criticality 0.95.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,live-campaign,air-live-campaign,Live outcome and adaptive replacement contract,pass,Conditional operational credit 0.66; live-outcome reliability floor 0.78.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,commissioning,air-commissioning-operations,"Commissioning, calibration, maintenance, and asset-replacement contract",pass,calibrated-station; 85% data-completeness floor; 80% replacement reliability floor.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,adapter,air-scenarios,Domain scenario contract,pass,"live-national-air, synthetic"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,interface,air-presets,Public case-study presets,pass,4 domain-matched presets registered.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,interface,air-onboarding,Domain-aware onboarding,pass,10 ordered walkthrough steps with 10 unique identifiers.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,release,air-health,Required-source health coverage,pass,3 required services are domain-scoped.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,reliability,air-fallback,Explicit scientific fallback,pass,Regional atmospheric prior + systematic candidates when optional monitors or hosts fail
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,intervention,air-intervention,Pre/post-intervention roles,pass,"treatment, control, boundary, spillover, background, collocation"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,air,claims,air-claims,Field and transport claim boundary,pass,Atmospheric/source trend + anisotropic GP residual; Meteorological downwind anisotropy.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,model,soil-model,Shared model configuration,pass,soil kernel with declared GP scale.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,model,soil-objectives,Complete objective vector,pass,10 shared objective terms are configured.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,capabilities,soil-capabilities,Public scientific workflow,pass,11 required workflow capabilities are declared.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,allocation,soil-budget-contract,Cross-domain budget contract,pass,sample + laboratory package: $750 per planning unit; 8-40 units; normalized diminishing-return curve declared.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,sequential,soil-evidence-calibration,Sequential evidence-calibration contract,pass,12 observations target full support; prior residual need 56%.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,adaptive,soil-simulation-transition,Multi-round evidence-transition contract,pass,Learning rate 0.50; residual response 0.76.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,robust-policy,soil-trajectory-uncertainty,Trajectory-uncertainty calibration contract,pass,Cost scale 0.78; failure sensitivity 0.70; environmental sensitivity 0.92.
