host_id,label,category,latitude,longitude,eligible_domains,review_status,permission_status,access_status,power_status,safety_status,maintenance_status,reliability,owner_or_agency,reviewer,verification_date,notes,field_verification_required,inventory_checksum
reviewed-host-01,Municipal facility 01,municipal,39.64324324324325,-105.11738738738738,heat|air|soil|water,verified,verified,verified,verified,verified,verified,0.76,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,false,8064ab58
reviewed-host-02,School or childcare 02,school,39.74351351351352,-105.02405405405405,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.79,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-03,Park or recreation 03,park,39.660270270270274,-104.93072072072071,heat|air|soil|water,conditional,verified,verified,verified,pending,pending,0.8200000000000001,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-04,Transit or mobility 04,transit,39.760540540540546,-105.09216216216215,heat|air|soil|water,conditional,pending,verified,verified,verified,verified,0.85,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-05,Community facility 05,community,39.6772972972973,-104.99882882882882,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.88,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-06,Utility infrastructure 06,utility,39.77756756756757,-104.90549549549549,heat|air|soil|water,conditional,verified,verified,verified,pending,verified,0.91,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-07,Treatment facility 07,treatment,39.69432432432433,-105.06693693693693,heat|air|soil|water,conditional,pending,verified,verified,verified,verified,0.94,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-08,Industrial-edge property 08,industrial-edge,39.7945945945946,-104.97360360360359,heat|air|soil|water,conditional,verified,verified,verified,verified,pending,0.76,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-09,Watershed access 09,watershed-access,39.711351351351354,-104.88027027027026,heat|air|soil|water,verified,verified,verified,pending,verified,verified,0.79,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,false,8064ab58
reviewed-host-10,Background/reference site 10,background,39.811621621621626,-105.04171171171171,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.8200000000000001,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-11,Municipal facility 11,municipal,39.72837837837838,-104.94837837837838,heat|air|soil|water,conditional,verified,verified,verified,pending,pending,0.85,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-12,School or childcare 12,school,39.645135135135135,-105.10981981981982,heat|air|soil|water,conditional,pending,verified,verified,verified,verified,0.88,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-13,Park or recreation 13,park,39.74540540540541,-105.01648648648649,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.91,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-14,Transit or mobility 14,transit,39.66216216216216,-104.92315315315315,heat|air|soil|water,conditional,verified,verified,verified,pending,verified,0.94,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-15,Community facility 15,community,39.76243243243243,-105.08459459459459,heat|air|soil|water,conditional,pending,verified,verified,verified,verified,0.76,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-16,Utility infrastructure 16,utility,39.679189189189195,-104.99126126126126,heat|air|soil|water,conditional,verified,verified,verified,verified,pending,0.79,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-17,Treatment facility 17,treatment,39.77945945945946,-104.89792792792792,heat|air|soil|water,verified,verified,verified,verified,verified,verified,0.8200000000000001,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,false,8064ab58
reviewed-host-18,Industrial-edge property 18,industrial-edge,39.69621621621622,-105.05936936936936,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.85,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-19,Watershed access 19,watershed-access,39.79648648648649,-104.96603603603603,heat|air|soil|water,conditional,verified,verified,verified,pending,pending,0.88,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-20,Background/reference site 20,background,39.71324324324325,-104.8727027027027,heat|air|soil|water,conditional,pending,verified,pending,verified,verified,0.91,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-21,Municipal facility 21,municipal,39.81351351351352,-105.03414414414414,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.94,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-22,School or childcare 22,school,39.730270270270275,-104.9408108108108,heat|air|soil|water,conditional,verified,verified,verified,pending,verified,0.76,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-23,Park or recreation 23,park,39.64702702702703,-105.10225225225224,heat|air|soil|water,conditional,pending,verified,verified,verified,verified,0.79,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-24,Transit or mobility 24,transit,39.7472972972973,-105.00891891891891,heat|air|soil|water,conditional,verified,verified,verified,verified,pending,0.8200000000000001,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-25,Community facility 25,community,39.664054054054056,-104.91558558558557,heat|air|soil|water,verified,verified,verified,pending,verified,verified,0.85,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,false,8064ab58
reviewed-host-26,Utility infrastructure 26,utility,39.76432432432433,-105.07702702702703,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.88,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-27,Treatment facility 27,treatment,39.68108108108108,-104.9836936936937,heat|air|soil|water,conditional,verified,verified,verified,pending,pending,0.91,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
