architecture,checksum,domain,category,check_id,label,status,detail
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,architecture,shared-domain-parity,Registry/model domain parity,pass,"Registry: heat, air, soil, water; model configs: air, heat, soil, water."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,release,shared-release-parity,Release metadata domain parity,pass,"Release supports heat, air, soil, water."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,allocation,shared-budget-allocator,Unified budget-allocation release contract,pass,Allocator: js/model/unified/budget-allocation.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,sequential,shared-sequential-reallocator,Sequential evidence-reallocation release contract,pass,Sequential reallocator: js/model/unified/sequential-reallocation.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,adaptive,shared-adaptive-simulator,Multi-round adaptive-simulation release contract,pass,Adaptive simulator: js/model/unified/adaptive-program-simulation.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,robust-policy,shared-robust-policy-ensemble,Trajectory-uncertainty ensemble release contract,pass,Robust evaluator: js/model/unified/robust-policy-ensemble.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,spatial-deployment,shared-spatial-deployment,Spatially coupled deployment release contract,pass,Spatial planner: js/model/unified/spatial-deployment.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,field-feasibility,shared-host-inventory-review,Verified-host ingestion release contract,pass,Host inventory reviewer: js/model/unified/host-inventory.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,field-campaign,shared-field-campaign-operations,Field-campaign and reserve-site release contract,pass,Field-campaign planner: js/model/unified/field-campaign.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,live-campaign,shared-live-campaign-tracking,Live campaign tracking release contract,pass,Live campaign tracker: js/model/unified/campaign-tracking.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,commissioning,shared-commissioning-operations,Commissioning and maintenance release contract,pass,Commissioning operations: js/model/unified/commissioning-operations.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,release,shared-release-quality,Internal release-quality contract,pass,Internal release-quality auditor: js/release/public-readiness.js.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,release,shared-stable-v4-status,Stable public v4 release status,pass,Release status: stable-public-v4.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,shared,research,shared-research-positioning,Research positioning,pass,"The audit treats Bayesian placement, validation, robustness, and intervention methods as established components; LUMOS contributes their socially constrained cross-domain integration."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,model,heat-model,Shared model configuration,pass,heat kernel with declared GP scale.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,model,heat-objectives,Complete objective vector,pass,10 shared objective terms are configured.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,capabilities,heat-capabilities,Public scientific workflow,pass,11 required workflow capabilities are declared.
