profile,profile_label,pareto,complete,site_id,site_label,host_category,latitude,longitude,colocated_domains,domain,role,suitability,assignment_savings_usd,site_reliability,site_equity,review_status,permission_status,access_status,power_status,safety_status,maintenance_status,owner_or_agency,reviewer,verification_date,field_verification_required,total_base_cost_usd,total_savings_usd,total_final_cost_usd,mean_coverage,worst_domain_coverage,correlated_failure_risk,checksum
coordinated,Coordinated Balanced,true,true,shared-host-008,Utility infrastructure proxy 08,utility,39.75257050056423,-105.00834246463548,water|soil|heat,water,treatment-system,0.8082950158930169,0,0.9652176266559399,0.4687271312292151,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-008,Utility infrastructure proxy 08,utility,39.75257050056423,-105.00834246463548,water|soil|heat,soil,ecological,0.7565991262542253,11.529000000000002,0.9652176266559399,0.4687271312292151,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-008,Utility infrastructure proxy 08,utility,39.75257050056423,-105.00834246463548,water|soil|heat,heat,reference,0.7749793518057511,86.832,0.9652176266559399,0.4687271312292151,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-029,School or childcare proxy 29,school,39.710559325221425,-104.91805920499328,water|heat|air,water,downstream-receptor,0.8574808255143496,0,0.9630343521786853,0.4977338760672497,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-029,School or childcare proxy 29,school,39.710559325221425,-104.91805920499328,water|heat|air,heat,exposure,1,75.16799999999999,0.9630343521786853,0.4977338760672497,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-029,School or childcare proxy 29,school,39.710559325221425,-104.91805920499328,water|heat|air,air,community,0.9760239657358225,226.07999999999998,0.9630343521786853,0.4977338760672497,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-043,Park or recreation proxy 43,park,39.69292592378725,-104.97647786388747,water|air|heat,water,reference,0.9383831973837689,0,0.9506784566324205,0.36613765084928457,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-043,Park or recreation proxy 43,park,39.69292592378725,-104.97647786388747,water|air|heat,air,community,0.8202896902766752,198.71999999999997,0.9506784566324205,0.36613765084928457,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-043,Park or recreation proxy 43,park,39.69292592378725,-104.97647786388747,water|air|heat,heat,canopy-gap,1,94.60799999999999,0.9506784566324205,0.36613765084928457,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-065,Community facility proxy 65,community,39.72028192531272,-104.88103829035917,water|soil|heat,water,reference,0.82253609388909,0,0.9469207898536698,0.48022067494822884,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-065,Community facility proxy 65,community,39.72028192531272,-104.88103829035917,water|soil|heat,soil,community-safety,0.8643939708281948,11.529000000000002,0.9469207898536698,0.48022067494822884,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-065,Community facility proxy 65,community,39.72028192531272,-104.88103829035917,water|soil|heat,heat,reference,0.968281904966488,86.832,0.9469207898536698,0.48022067494822884,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
coordinated,Coordinated Balanced,true,true,shared-host-006,Community facility proxy 06,community,39.80062688266575,-105.07926278166418,soil|heat,soil,community-safety,0.8758478754698691,0,0.8797083665053359,0.6450174852103212,unresolved,unverified,unverified,unverified,unverified,unverified,,,,true,113500,1836.1619999999998,111663.838,0.9475005598083566,0.9417054328482996,0.24134920634920634,fadf31dd
